GenomeID	Entry	Entry name	Status	Protein names	Gene names	Length	Proteomes
Q0085	P00854	ATP6_YEAST	reviewed	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	259	UP000002311: Mitochondrion
Q0105	P00163	CYB_YEAST	reviewed	Cytochrome b (EC 7.1.1.8) (Complex III subunit 3) (Complex III subunit CYTB) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Cytochrome b-c1 complex subunit CYTB) (Ubiquinol-cytochrome c oxidoreductase complex cytochrome b subunit)	COB CYTB Q0105	385	UP000002311: Mitochondrion
Q0250	P00410	COX2_YEAST	reviewed	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 OXI1 Q0250	251	UP000002311: Mitochondrion
YAL003W	P32471	EF1B_YEAST	reviewed	Elongation factor 1-beta (EF-1-beta) (Eukaryotic elongation factor 1Balpha) (eEF1Balpha) (Translation elongation factor 1B alpha)	EFB1 TEF5 YAL003W	206	UP000002311: Chromosome I
YAL005C	P10591	HSP71_YEAST	reviewed	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	642	UP000002311: Chromosome I
YAL009W	P18410	SPO7_YEAST	reviewed	Sporulation-specific protein SPO7	SPO7 YAL009W	259	UP000002311: Chromosome I
YAL030W	P31109	SNC1_YEAST	reviewed	Synaptobrevin homolog 1	SNC1 YAL030W	117	UP000002311: Chromosome I
YAL038W	P00549	KPYK1_YEAST	reviewed	Pyruvate kinase 1 (PK 1) (EC 2.7.1.40) (cell division cycle protein 19)	CDC19 PYK1 YAL038W	500	UP000002311: Chromosome I
YAL040C	P13365	CG13_YEAST	reviewed	G1/S-specific cyclin CLN3	CLN3 DAF1 WHI1 YAL040C FUN10	580	UP000002311: Chromosome I
YAL041W	P11433	CDC24_YEAST	reviewed	Cell division control protein 24 (Calcium regulatory protein)	CDC24 CLS4 YAL041W	854	UP000002311: Chromosome I
YAL042W	P39727	ERV46_YEAST	reviewed	ER-derived vesicles protein ERV46	ERV46 YAL042W FUN9	415	UP000002311: Chromosome I
YAL043C	Q01329	PTA1_YEAST	reviewed	Pre-tRNA-processing protein PTA1	PTA1 YAL043C FUN39	785	UP000002311: Chromosome I
YAL044C	P39726	GCSH_YEAST	reviewed	Glycine cleavage system H protein, mitochondrial (Glycine decarboxylase complex subunit H)	GCV3 YAL044C FUN40	170	UP000002311: Chromosome I
YAL047C	P39723	SPC72_YEAST	reviewed	Spindle pole component SPC72	SPC72 LDB4 SPI6 YAL047C FUN42	622	UP000002311: Chromosome I
YAL051W	P39720	OAF1_YEAST	reviewed	Oleate-activated transcription factor 1	OAF1 YAF1 YAL051W FUN43	1047	UP000002311: Chromosome I
YAL056W	P39717	GPB2_YEAST	reviewed	Guanine nucleotide-binding protein subunit beta 2 (Gbeta mimic kelch protein 2)	GPB2 KRH1 YAL056W	880	UP000002311: Chromosome I
YAR007C	P22336	RFA1_YEAST	reviewed	Replication factor A protein 1 (RF-A protein 1) (DNA-binding protein BUF2) (Replication protein A 69 kDa DNA-binding subunit) (Single-stranded DNA-binding protein)	RFA1 BUF2 RPA1 YAR007C FUN3	621	UP000002311: Chromosome I
YAR019C	P27636	CDC15_YEAST	reviewed	Cell division control protein 15 (EC 2.7.11.1)	CDC15 LYT1 YAR019C	974	UP000002311: Chromosome I
YBL007C	P32790	SLA1_YEAST	reviewed	Actin cytoskeleton-regulatory complex protein SLA1	SLA1 YBL007C YBL0321	1244	UP000002311: Chromosome II
YBL008W	P32479	HIR1_YEAST	reviewed	Protein HIR1 (Histone transcription regulator 1)	HIR1 YBL008W YBL0318	840	UP000002311: Chromosome II
YBL014C	P32786	RRN6_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN6	RRN6 YBL014C YBL0311 YBL0312	894	UP000002311: Chromosome II
YBL016W	P16892	FUS3_YEAST	reviewed	Mitogen-activated protein kinase FUS3 (MAP kinase FUS3) (EC 2.7.11.24)	FUS3 DAC2 YBL016W YBL03.21 YBL0303	353	UP000002311: Chromosome II
YBL021C	P13434	HAP3_YEAST	reviewed	Transcriptional activator HAP3 (UAS2 regulatory protein A)	HAP3 YBL021C YBL0441	144	UP000002311: Chromosome II
YBL023C	P29469	MCM2_YEAST	reviewed	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2)	MCM2 YBL023C YBL0438	868	UP000002311: Chromosome II
YBL025W	P38204	RRN10_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN10	RRN10 YBL025W YBL0426	145	UP000002311: Chromosome II
YBL026W	P38203	LSM2_YEAST	reviewed	U6 snRNA-associated Sm-like protein LSm2 (Small nuclear ribonucleoprotein D homolog SNP3)	LSM2 SMX5 SNP3 YBL026W YBL0425	95	UP000002311: Chromosome II
YBL035C	P38121	DPOA2_YEAST	reviewed	DNA polymerase alpha subunit B (DNA polymerase I subunit B) (DNA polymerase alpha:primase complex p86 subunit) (Pol alpha-primase complex p86 subunit) (DNA polymerase-primase complex p74 subunit)	POL12 YBL035C YBL0414	705	UP000002311: Chromosome II
YBL037W	P38065	AP2A_YEAST	reviewed	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)	APL3 YBL037W YBL0412	1025	UP000002311: Chromosome II
YBL041W	P23724	PSB6_YEAST	reviewed	Proteasome subunit beta type-6 (EC 3.4.25.1) (Multicatalytic endopeptidase complex subunit C5) (Proteasome component C5)	PRE7 PRS3 PTS1 YBL041W YBL0407	241	UP000002311: Chromosome II
YBL045C	P07256	QCR1_YEAST	reviewed	Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome c oxidoreductase core protein 1) (Ubiquinol-cytochrome c reductase 44 kDa protein)	COR1 QCR1 YBL045C YBL0403	457	UP000002311: Chromosome II
