Protein Length
A0A023PYF4 145
A0A023PZB3 126
A0A023PZE8 133
A0A023PZF2 135
A0A023PZG4 107
A0A0B7P221 28
A0A0B7P3V8 1104
A2P2R3 262
A5Z2X5 72
D6VPM8 179
D6VTK4 431
D6W196 494
I2HB52 66
I2HB70 103
O13297 549
O13329 566
O13511 128
O13512 126
O13516 197
O13525 335
O13527 1196
O13529 151
O13535 1793
O13536 103
O13539 261
O13544 120
O13547 238
O13549 108
O13555 125
O13556 202
O13559 1382
O13563 156
O13565 187
O13574 117
O13577 133
O13578 112
O13585 888
O13587 100
O14455 100
O14464 93
O14467 151
O14468 76
O43137 85
O60200 86
O74302 440
O74700 87
O75012 95
O94742 89
P00044 109
P00045 113
P00127 147
P00128 127
P00163 385
P00175 591
P00330 348
P00331 348
P00358 332
P00359 332
P00360 332
P00401 534
P00410 251
P00420 269
P00424 153
P00425 151
P00427 148
P00431 361
P00445 154
P00447 233
P00498 297
P00546 298
P00549 500
P00560 416
P00572 216
P00635 467
P00724 532
P00729 532
P00812 333
P00815 799
P00817 287
P00830 511
P00854 259
P00856 48
P00890 479
P00899 507
P00912 224
P00924 437
P00925 437
P00927 576
P00931 707
P00937 484
P00942 248
P00950 247
P00958 751
P01094 68
P01097 85
P01098 86
P01119 309
P01120 322
P01123 206
P01149 165
P02293 131
P02294 131
P02309 103
P02381 398
P02400 110
P02406 149
P02407 136
P02557 457
P02829 709
P02992 437
P02994 458
P03069 281
P03870 423
P03871 373
P03872 296
P03873 423
P03874 630
P03875 834
P03876 854
P03877 415
P03878 556
P03879 638
P03881 472
P03882 235
P03962 267
P03965 1118
P04037 155
P04039 78
P04046 510
P04050 1733
P04051 1460
P04076 463
P04147 577
P04161 214
P04173 364
P04385 528
P04386 881
P04387 435
P04397 699
P04449 155
P04456 142
P04650 51
P04710 309
P04786 769
P04801 734
P04802 557
P04803 379
P04806 485
P04807 486
P04817 590
P04819 755
P04821 1589
P04840 283
P04911 132
P04912 132
P05030 918
P05066 565
P05085 880
P05150 338
P05316 633
P05317 312
P05318 106
P05319 106
P05373 342
P05374 869
P05375 206
P05453 685
P05626 244
P05694 767
P05737 244
P05738 191
P05739 176
P05740 184
P05743 127
P05744 107
P05745 100
P05747 59
P05748 204
P05749 121
P05750 240
P05755 195
P05756 151
P05759 152
P05986 398
P06100 191
P06101 506
P06102 836
P06103 763
P06104 172
P06105 1222
P06106 444
P06115 562
P06168 395
P06169 563
P06174 275
P06182 269
P06197 220
P06208 619
P06242 306
P06243 507
P06244 397
P06245 380
P06367 137
P06633 220
P06634 604
P06700 562
P06701 978
P06704 161
P06738 902
P06773 312
P06774 265
P06775 603
P06776 526
P06777 1100
P06778 471
P06779 565
P06780 209
P06781 192
P06782 633
P06783 470
P06784 515
P06785 304
P06786 1428
P06787 147
P06838 210
P06839 778
P06843 333
P06844 337
P07143 309
P07149 2051
P07170 222
P07172 385
P07213 617
P07236 462
P07244 802
P07245 946
P07246 375
P07248 1323
P07249 177
P07250 355
P07251 545
P07252 654
P07253 162
P07255 59
P07256 457
P07257 368
P07258 411
P07259 2214
P07260 213
P07261 785
P07262 454
P07263 546
P07264 779
P07266 363
P07267 405
P07269 559
P07270 312
P07271 859
P07272 904
P07273 309
P07274 126
P07275 575
P07276 1031
P07277 443
P07278 416
P07280 144
P07281 144
P07283 254
P07284 462
P07285 380
P07286 448
P07342 687
P07347 238
P07390 489
P07560 215
P07702 1392
P07703 335
P07806 1104
P07807 211
P07834 779
P07866 1435
P07884 428
P07991 424
P08004 1131
P08018 668
P08019 549
P08067 215
P08153 709
P08417 488
P08425 469
P08431 366
P08432 466
P08456 276
P08458 490
P08459 502
P08465 486
P08466 329
P08468 800
P08518 1224
P08521 25
P08524 352
P08525 94
P08536 511
P08539 472
P08566 1588
P08593 268
P08638 886
P08640 1367
P08678 2026
P08679 460
P08964 1928
P09007 221
P09032 578
P09064 285
P09119 513
P09201 348
P09232 635
P09368 476
P09435 649
P09436 1072
P09440 975
P09457 212
P09547 1314
P09620 729
P09624 499
P09733 447
P09734 445
P09798 840
P09880 827
P09932 586
P09937 338
P09938 399
P09950 548
P09959 803
P0C074 85
P0C0T4 108
P0C0V2 99
P0C0V8 87
P0C0W1 130
P0C0W9 174
P0C0X0 67
P0C1Z1 29
P0C268 59
P0C269 39
P0C270 34
P0C271 40
P0C272 63
P0C289 58
P0C2H6 136
P0C2H7 136
P0C2H8 113
P0C2H9 113
P0C2I2 1755
P0C2I3 1755
P0C2I4 478
P0C2I5 1755
P0C2I6 1755
P0C2I8 440
P0C2I9 1755
P0C2J0 1756
P0C2J1 1755
P0C2J3 1770
P0C2J4 438
P0C2J7 1802
P0C5K9 27
P0C5L4 52
P0C5L6 82
P0C5L7 38
P0C5M0 45
P0C5M1 34
P0C5M8 29
P0C5M9 85
P0C5N0 62
P0C5N1 53
P0C5N3 154
P0C5N4 26
P0C5N6 59
P0C5N7 58
P0C5P0 93
P0C5P2 29
