GenomeID	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q0085	P00854	ATP6_YEAST	reviewed	ATP synthase subunit a (F-ATPase protein 6)	ATP6 OLI2 OLI4 PHO1 Q0085	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	259
YAL005C	P10591	HSP71_YEAST	reviewed	Heat shock protein SSA1 (Heat shock protein YG100)	SSA1 YAL005C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	642
YAL012W	P31373	CYS3_YEAST	reviewed	Cystathionine gamma-lyase (EC 4.4.1.1) (Gamma-cystathionase) (Sulfur transfer protein 1)	CYS3 CYI1 STR1 YAL012W FUN35	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	394
YAL016W	P31383	2AAA_YEAST	reviewed	Protein phosphatase PP2A regulatory subunit A (PR65)	TPD3 YAL016W FUN32	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	635
YAL020C	P31386	ATS1_YEAST	reviewed	Protein KTI13 (Alpha-tubulin suppressor 1) (Kluyveromyces lactis toxin-insensitive protein 13)	ATS1 KTI13 YAL020C FUN28 YAL006	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	333
YAL021C	P31384	CCR4_YEAST	reviewed	Glucose-repressible alcohol dehydrogenase transcriptional effector (EC 3.1.13.4) (Carbon catabolite repressor protein 4) (Cytoplasmic deadenylase)	CCR4 YAL021C FUN27	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	837
YAL024C	P07866	LTE1_YEAST	reviewed	Guanine nucleotide exchange factor LTE1 (Low temperature essential protein 1)	LTE1 EIS4 MSI2 YAL024C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1435
YAL027W	P39735	SAW1_YEAST	reviewed	Single-strand annealing weakened protein 1	SAW1 YAL027W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	261
YAL028W	P39734	HPH2_YEAST	reviewed	Protein HPH2 (Functionally related to TCP1 protein 2) (High pH protein 2)	FRT2 HPH2 YAL028W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	528
YAL032C	P28004	PRP45_YEAST	reviewed	Pre-mRNA-processing protein 45	PRP45 FUN20 YAL032C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379
YAL036C	P39729	RBG1_YEAST	reviewed	Ribosome-interacting GTPase 1 (GTP-binding protein RBG1) (Genetically interacts with ribosomal genes protein 1)	RBG1 FUN11 YAL036C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	369
YAL040C	P13365	CG13_YEAST	reviewed	G1/S-specific cyclin CLN3	CLN3 DAF1 WHI1 YAL040C FUN10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	580
YAL041W	P11433	CDC24_YEAST	reviewed	Cell division control protein 24 (Calcium regulatory protein)	CDC24 CLS4 YAL041W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	854
YAL046C	P39724	BOL3_YEAST	reviewed	BolA-like protein 3 (Altered inheritance of mitochondria protein 1)	BOL3 AIM1 YAL046C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	118
YAL049C	P39721	AIM2_YEAST	reviewed	Protein AIM2 (Altered inheritance rate of mitochondria protein 2)	AIM2 YAL049C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	246
YAL054C	Q01574	ACS1_YEAST	reviewed	Acetyl-coenzyme A synthetase 1 (EC 6.2.1.1) (Acetate--CoA ligase 1) (Acyl-activating enzyme 1)	ACS1 YAL054C FUN44	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	713
